customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00017,Female,0,Yes,No,6,Yes,No,DSL,Yes,No,No,One year,Yes,Credit card (automatic),55.46,345.05,Yes
CUST00018,Female,0,No,No,21,Yes,Yes,DSL,Yes,No,No,Month-to-month,Yes,Mailed check,53.39,1118.55,No
CUST00019,Male,0,Yes,No,5,Yes,No,DSL,Yes,No,Yes,One year,No,Mailed check,53.85,234.86,No
CUST00020,Female,0,Yes,Yes,6,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,83.0,528.23,Yes
CUST00021,Male,0,No,No,7,Yes,No,Fiber optic,No,Yes,No,Month-to-month,No,Electronic check,76.54,526.32,Yes
CUST00022,Female,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,No,Mailed check,78.24,293.9,No
CUST00023,Female,0,No,No,14,Yes,Yes,DSL,Yes,No,Yes,One year,Yes,Bank transfer (automatic),65.63,923.84,No
CUST00024,Female,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),60.23,88.77,No
CUST00025,Female,0,No,No,6,Yes,No,DSL,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,62.73,384.48,Yes
CUST00026,Female,0,No,Yes,10,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),64.77,640.41,No
CUST00027,Female,1,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Credit card (automatic),65.19,1178.38,No
CUST00028,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.47,333.36,No
CUST00029,Female,1,Yes,Yes,5,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,No,Mailed check,79.8,389.64,No
CUST00030,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,77.0,617.35,No
CUST00031,Male,0,Yes,No,4,Yes,No,DSL,No,Yes,Yes,One year,Yes,Electronic check,54.58,201.83,No
CUST00032,Female,0,Yes,Yes,5,No,No phone service,DSL,No,No,No,One year,Yes,Bank transfer (automatic),42.52,192.82,No
CUST00033,Female,0,No,No,18,Yes,No,DSL,No,No,No,Month-to-month,Yes,Credit card (automatic),43.51,794.23,No
CUST00034,Female,0,No,Yes,21,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Electronic check,64.83,1353.54,Yes
CUST00035,Male,0,No,No,18,Yes,Yes,Fiber optic,Yes,No,Yes,One year,No,Electronic check,85.33,1535.43,No
CUST00036,Female,0,No,No,1,No,No phone service,DSL,No,Yes,Yes,One year,Yes,Mailed check,60.59,45.15,No
CUST00037,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Electronic check,23.68,343.86,No
CUST00038,Male,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.63,533.82,Yes
CUST00039,Male,0,Yes,Yes,3,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.68,194.29,Yes
CUST00040,Male,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,78.16,382.6,No
CUST00041,Male,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,One year,Yes,Electronic check,73.65,887.75,No
CUST00042,Female,1,No,No,6,No,No phone service,DSL,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),59.23,383.18,Yes
CUST00043,Female,0,No,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Mailed check,23.88,970.42,No
CUST00044,Female,0,Yes,Yes,4,Yes,No,DSL,No,No,No,Month-to-month,No,Credit card (automatic),39.21,150.15,Yes
CUST00045,Female,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,Yes,Yes,One year,No,Electronic check,85.49,842.25,Yes
CUST00046,Female,0,No,No,12,Yes,Yes,DSL,No,Yes,No,Month-to-month,No,Electronic check,64.17,734.46,Yes
CUST00047,Male,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),71.28,342.94,Yes
CUST00048,Female,0,No,No,15,No,No phone service,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,74.03,1088.48,No
CUST00049,Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,109.09,No
CUST00050,Male,0,No,No,4,No,No phone service,DSL,No,Yes,Yes,Month-to-month,Yes,Electronic check,60.78,276.49,Yes
CUST00051,Female,0,Yes,Yes,0,Yes,No,DSL,No,No,No,Month-to-month,Yes,Electronic check,46.74,0.0,No
CUST00052,Male,0,No,Yes,3,Yes,No,Fiber optic,No,Yes,Yes,One year,Yes,Bank transfer (automatic),86.53,230.54,No
CUST00053,Female,1,Yes,No,10,No,No phone service,DSL,No,No,No,One year,No,Electronic check,57.66,572.68,Yes
CUST00054,Male,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),79.11,1573.38,Yes
CUST00055,Female,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,One year,Yes,Mailed check,82.5,190.22,Yes
CUST00056,Female,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.3,83.2,Yes
CUST00057,Male,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,No,One year,No,Electronic check,83.45,63.62,Yes
CUST00058,Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.04,177.58,Yes
CUST00059,Male,0,No,No,25,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Mailed check,81.49,2005.86,No
CUST00060,Male,0,No,No,8,No,No phone service,No,No internet service,No internet service,No internet service,One year,No,Electronic check,25.28,213.72,No
CUST00061,Male,0,No,Yes,7,Yes,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,Mailed check,54.74,369.87,No
CUST00062,Male,0,Yes,No,6,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,84.27,526.15,No
CUST00063,Male,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.89,0.0,No
CUST00064,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.1,867.81,Yes
CUST00065,Female,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.96,214.7,No
CUST00066,Female,0,No,No,8,Yes,No,DSL,No,No,Yes,One year,No,Mailed check,52.2,417.98,No
CUST00067,Male,0,Yes,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.35,431.58,No
CUST00068,Female,0,No,No,12,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),86.04,1022.06,Yes
CUST00069,Female,1,Yes,Yes,12,Yes,No,DSL,Yes,No,No,One year,No,Credit card (automatic),51.72,588.1,No
CUST00070,Female,0,Yes,No,20,Yes,No,DSL,No,No,Yes,Month-to-month,No,Credit card (automatic),52.91,1040.91,No
CUST00071,Female,1,No,No,36,Yes,No,DSL,No,Yes,Yes,Month-to-month,No,Electronic check,62.48,2206.5,No
CUST00072,Male,0,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.78,225.44,Yes
CUST00073,Female,0,No,Yes,0,Yes,No,Fiber optic,No,No,Yes,One year,Yes,Bank transfer (automatic),76.63,0.0,No
CUST00074,Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.07,130.94,Yes
CUST00075,Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,77.73,916.06,No
CUST00076,Female,1,No,Yes,0,No,No phone service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.17,10.51,Yes
CUST00077,Female,0,No,No,0,Yes,Yes,Fiber optic,No,No,No,One year,Yes,Credit card (automatic),78.0,15.48,Yes
CUST00078,Male,0,No,No,0,Yes,No,DSL,No,No,Yes,One year,Yes,Credit card (automatic),51.32,18.72,No
CUST00079,Female,0,No,Yes,10,Yes,No,DSL,No,Yes,No,Month-to-month,Yes,Electronic check,50.67,505.05,Yes
CUST00080,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.04,135.51,Yes
CUST00081,Female,1,Yes,No,3,Yes,No,DSL,No,Yes,No,Month-to-month,No,Credit card (automatic),44.59,121.62,Yes
CUST00082,Male,0,Yes,No,0,Yes,No,DSL,No,No,Yes,Month-to-month,No,Mailed check,53.92,7.48,Yes
CUST00083,Female,0,Yes,No,10,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,No,Credit card (automatic),75.07,751.67,No
CUST00084,Male,0,No,Yes,3,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,No,Mailed check,59.87,156.11,Yes
CUST00085,Male,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),25.15,13.7,No
CUST00086,Female,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,77.52,614.18,Yes
CUST00087,Male,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Credit card (automatic),86.91,515.55,Yes
CUST00088,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,48.61,Yes
CUST00089,Female,0,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,No,Mailed check,89.03,733.24,Yes
CUST00090,Female,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.05,101.62,No
CUST00091,Female,0,No,No,12,Yes,No,DSL,No,Yes,No,Month-to-month,No,Bank transfer (automatic),49.13,602.7,No
CUST00092,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.17,70.08,No
CUST00093,Female,0,No,No,1,Yes,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),71.97,70.37,No
CUST00094,Female,0,Yes,Yes,12,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Electronic check,72.86,877.85,No
CUST00095,Female,0,No,Yes,9,No,No phone service,Fiber optic,Yes,No,Yes,Month-to-month,No,Credit card (automatic),85.23,775.66,No
CUST00096,Female,0,Yes,No,1,No,No phone service,DSL,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,56.81,59.61,No
CUST00097,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),86.16,11.85,Yes
CUST00098,Female,0,No,No,14,Yes,No,DSL,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.59,639.18,No
CUST00099,Male,0,Yes,No,11,Yes,No,DSL,No,Yes,No,Month-to-month,Yes,Electronic check,44.42,478.72,Yes
CUST00100,Male,0,No,Yes,3,Yes,No,Fiber optic,Yes,No,Yes,One year,No,Electronic check,77.05,236.38,No
CUST00101,Female,0,Yes,No,8,No,No phone service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.64,152.4,Yes
CUST00102,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,Electronic check,101.41,130.46,Yes
CUST00103,Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),91.12,447.05,Yes
CUST00104,Female,0,Yes,No,0,Yes,Yes,DSL,No,No,Yes,Month-to-month,No,Electronic check,60.8,57.19,Yes
CUST00105,Female,0,No,No,3,Yes,No,DSL,No,Yes,Yes,One year,No,Credit card (automatic),60.58,214.53,No
CUST00106,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.01,0.0,Yes
CUST00107,Female,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.33,141.68,Yes
CUST00108,Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,69.49,No
CUST00109,Male,0,Yes,No,4,Yes,No,DSL,Yes,No,No,One year,No,Mailed check,54.26,228.35,No
CUST00110,Female,0,Yes,Yes,0,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,No,Electronic check,79.99,31.53,No
CUST00111,Male,0,Yes,Yes,3,No,No phone service,Fiber optic,No,No,No,One year,Yes,Electronic check,77.2,216.1,No
CUST00112,Female,0,No,Yes,11,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,63.23,686.26,Yes
CUST00113,Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,65.49,211.54,Yes
CUST00114,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Mailed check,96.08,953.46,Yes
CUST00115,Female,0,Yes,No,3,No,No phone service,DSL,No,No,Yes,One year,Yes,Credit card (automatic),51.57,110.21,Yes
CUST00116,Male,0,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Electronic check,25.39,120.83,Yes
CUST00117,Female,0,No,Yes,6,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Electronic check,67.23,410.77,Yes
CUST00118,Female,1,No,Yes,24,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),83.79,2010.49,No
CUST00119,Male,0,Yes,No,0,No,No phone service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.05,2.5,No
CUST00120,Female,0,No,No,0,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,89.44,44.77,Yes
CUST00121,Male,1,No,No,7,Yes,Yes,DSL,No,No,No,Month-to-month,No,Mailed check,55.0,405.25,No
CUST00122,Female,0,Yes,No,23,Yes,Yes,DSL,Yes,Yes,No,Two year,Yes,Mailed check,63.05,1432.93,No
CUST00123,Male,1,No,Yes,36,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,80.43,2897.94,Yes
CUST00124,Male,0,No,No,5,Yes,Yes,DSL,No,No,No,Month-to-month,No,Bank transfer (automatic),65.28,350.12,Yes
CUST00125,Female,1,No,Yes,5,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.53,450.95,Yes
CUST00126,Female,0,No,No,8,Yes,No,DSL,Yes,Yes,No,Month-to-month,No,Credit card (automatic),50.7,375.55,Yes
CUST00127,Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),31.19,177.11,Yes
CUST00128,Female,0,No,No,8,Yes,No,DSL,No,No,Yes,One year,Yes,Credit card (automatic),52.27,395.48,No
CUST00129,Female,0,No,No,16,No,No phone service,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Mailed check,84.69,1367.83,Yes
CUST00130,Female,0,No,No,10,Yes,No,Fiber optic,No,No,No,Two year,No,Electronic check,71.83,700.16,No
CUST00131,Male,0,No,Yes,5,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,85.09,456.54,No
CUST00132,Male,0,Yes,Yes,4,Yes,No,DSL,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),56.15,250.51,No
CUST00133,Male,0,No,No,8,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,No,Credit card (automatic),71.46,566.74,No
CUST00134,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,77.49,284.66,Yes
CUST00135,Male,0,Yes,Yes,4,Yes,Yes,DSL,Yes,No,Yes,One year,Yes,Credit card (automatic),66.8,251.42,No
CUST00136,Male,1,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.07,9.02,Yes
CUST00137,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,35.04,No
CUST00138,Male,1,Yes,No,5,Yes,Yes,DSL,No,Yes,No,One year,No,Credit card (automatic),57.89,288.68,No
CUST00139,Male,0,Yes,No,13,Yes,No,Fiber optic,Yes,Yes,Yes,One year,Yes,Credit card (automatic),83.29,1031.41,Yes
CUST00140,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,No,Yes,One year,No,Mailed check,77.71,169.02,Yes
CUST00141,Male,0,Yes,No,5,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.63,292.74,Yes
CUST00142,Female,0,Yes,No,3,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.9,158.32,Yes
CUST00143,Female,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.56,19.97,Yes
CUST00144,Female,0,Yes,No,25,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,76.5,1888.78,Yes
CUST00145,Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Electronic check,25.47,387.06,No
CUST00146,Male,1,No,Yes,0,No,No phone service,Fiber optic,Yes,No,No,Two year,Yes,Mailed check,69.38,1.84,No
CUST00147,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,Yes,Month-to-month,Yes,Mailed check,56.51,548.99,No
CUST00148,Male,0,Yes,No,3,Yes,Yes,DSL,No,No,No,Month-to-month,Yes,Mailed check,54.74,168.34,No
CUST00149,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),93.3,3907.59,No
CUST00150,Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,One year,No,Bank transfer (automatic),74.14,149.23,No
CUST00151,Male,0,Yes,Yes,2,Yes,No,DSL,Yes,No,No,Month-to-month,No,Mailed check,60.71,113.7,Yes
CUST00152,Male,0,Yes,Yes,6,No,No phone service,Fiber optic,Yes,No,Yes,One year,No,Electronic check,82.35,484.07,Yes
CUST00153,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Mailed check,20.44,272.97,No
CUST00154,Male,0,No,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,One year,Yes,Electronic check,87.89,69.92,No
CUST00155,Female,0,No,Yes,9,Yes,No,DSL,No,No,Yes,Month-to-month,No,Electronic check,60.76,563.89,Yes
CUST00156,Male,0,No,No,0,Yes,Yes,DSL,Yes,No,No,Month-to-month,Yes,Electronic check,56.31,0.0,Yes
CUST00157,Female,1,No,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.87,614.77,Yes
CUST00158,Male,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,0.0,No
CUST00159,Female,0,No,No,19,Yes,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),77.34,1458.9,Yes
CUST00160,Male,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.19,93.07,No
CUST00161,Male,1,No,No,4,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65.57,276.55,Yes
CUST00162,Female,0,No,No,28,Yes,Yes,DSL,No,Yes,No,Month-to-month,No,Bank transfer (automatic),54.27,1507.0,No
CUST00163,Female,0,No,No,37,Yes,No,DSL,No,No,No,Month-to-month,Yes,Credit card (automatic),46.08,1697.37,Yes
CUST00164,Female,0,Yes,No,8,Yes,No,DSL,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),59.35,487.66,No
CUST00165,Male,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.69,34.57,No
CUST00166,Female,0,No,No,5,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),80.09,386.71,Yes
CUST00167,Male,0,No,No,6,Yes,Yes,DSL,Yes,No,Yes,One year,Yes,Electronic check,58.72,371.64,No
CUST00168,Male,0,No,No,5,No,No phone service,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,108.19,Yes
CUST00169,Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,124.78,Yes
CUST00170,Female,0,No,Yes,0,Yes,Yes,DSL,No,No,Yes,Month-to-month,Yes,Mailed check,52.8,6.05,Yes
CUST00171,Male,0,No,Yes,9,Yes,No,Fiber optic,Yes,No,No,One year,Yes,Bank transfer (automatic),74.93,670.9,No
CUST00172,Male,0,No,No,9,Yes,No,Fiber optic,Yes,No,Yes,One year,Yes,Credit card (automatic),87.8,768.72,Yes
CUST00173,Female,0,No,Yes,0,Yes,Yes,Fiber optic,Yes,Yes,No,Two year,No,Credit card (automatic),84.22,0.0,No
CUST00174,Female,1,No,No,6,Yes,No,Fiber optic,Yes,No,No,Month-to-month,No,Mailed check,74.85,447.4,No
CUST00175,Female,0,No,No,6,Yes,No,DSL,Yes,Yes,No,One year,Yes,Credit card (automatic),60.81,365.14,Yes
CUST00176,Male,0,No,Yes,9,Yes,No,DSL,Yes,No,No,One year,Yes,Credit card (automatic),54.17,482.31,No
CUST00177,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Electronic check,24.09,0.0,No
CUST00178,Male,0,Yes,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.6,213.47,Yes
CUST00179,Male,0,Yes,Yes,2,Yes,Yes,DSL,No,No,Yes,Month-to-month,Yes,Mailed check,56.55,145.65,Yes
CUST00180,Male,0,No,No,5,Yes,No,DSL,No,No,No,One year,No,Electronic check,46.98,212.78,Yes
CUST00181,Male,0,No,No,11,No,No phone service,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,26.41,296.28,No
CUST00182,Female,0,No,No,9,No,No phone service,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.04,829.4,Yes
CUST00183,Male,0,No,Yes,1,Yes,No,DSL,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.03,83.53,Yes
CUST00184,Male,0,Yes,No,7,Yes,Yes,DSL,Yes,No,No,One year,No,Credit card (automatic),63.65,480.22,No
CUST00185,Male,0,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.22,2317.7,No
CUST00186,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,No,Electronic check,74.99,89.38,Yes
CUST00187,Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.01,1305.95,No
CUST00188,Male,0,Yes,No,9,Yes,No,DSL,No,Yes,No,Month-to-month,Yes,Mailed check,55.48,492.07,No
CUST00189,Female,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,247.74,Yes
CUST00190,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.0,20.65,No
CUST00191,Male,0,No,No,2,No,No phone service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,52.45,Yes
CUST00192,Male,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,318.72,No
CUST00193,Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,One year,No,Credit card (automatic),72.95,192.08,No
CUST00194,Male,1,No,No,0,Yes,No,DSL,No,No,No,Month-to-month,No,Bank transfer (automatic),46.9,34.31,Yes
CUST00195,Female,0,No,No,7,Yes,No,DSL,No,No,Yes,Month-to-month,Yes,Electronic check,59.21,379.62,Yes
CUST00196,Female,0,Yes,Yes,1,Yes,No,DSL,Yes,Yes,No,One year,Yes,Credit card (automatic),54.06,11.08,No
CUST00197,Female,0,No,No,12,No,No phone service,DSL,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),49.7,610.4,No
CUST00198,Male,0,Yes,No,8,Yes,No,Fiber optic,No,No,Yes,One year,Yes,Bank transfer (automatic),79.03,626.15,No
CUST00199,Male,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,296.63,No
CUST00200,Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,Yes,One year,Yes,Mailed check,78.96,947.38,Yes
CUST00201,Female,1,No,Yes,0,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,No,Mailed check,87.8,12.01,No
CUST00202,Male,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,84.0,246.09,Yes
