customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Segment
CUST00026,0,0,0,1,10,1,1,64.77,640.41,0,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0
CUST00027,0,1,0,1,18,1,1,65.19,1178.38,0,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,0
CUST00028,0,0,0,0,17,1,1,19.47,333.36,0,False,False,False,True,True,False,True,False,True,False,True,False,False,False,True,2
CUST00029,0,1,1,1,5,1,0,79.8,389.64,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,0
CUST00030,1,0,1,1,8,1,1,77.0,617.35,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,0
CUST00031,1,0,1,0,4,1,1,54.58,201.83,0,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,2
CUST00032,0,0,1,1,5,0,1,42.52,192.82,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
CUST00033,0,0,0,0,18,1,1,43.51,794.23,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
CUST00034,0,0,0,1,21,1,1,64.83,1353.54,1,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0
CUST00035,1,0,0,0,18,1,0,85.33,1535.43,0,False,True,True,False,False,True,False,False,False,True,True,False,False,True,False,0
CUST00036,0,0,0,0,1,0,1,60.59,45.15,0,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,0
CUST00037,1,0,1,0,15,1,0,23.68,343.86,0,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,2
CUST00038,1,0,1,1,23,1,1,23.63,533.82,1,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,2
CUST00039,1,0,1,1,3,1,1,68.68,194.29,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,0
CUST00040,1,0,1,1,5,1,1,78.16,382.6,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,0
CUST00041,1,0,1,0,12,1,1,73.65,887.75,0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,0
CUST00042,0,1,0,0,6,0,1,59.23,383.18,1,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0
CUST00043,0,0,0,1,40,1,0,23.88,970.42,0,False,True,False,True,True,False,True,False,True,False,True,False,False,False,True,3
CUST00044,0,0,1,1,4,1,0,39.21,150.15,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
CUST00045,0,0,1,1,10,1,0,85.49,842.25,1,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,0
CUST00046,0,0,0,0,12,1,0,64.17,734.46,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
CUST00047,1,0,1,0,5,1,1,71.28,342.94,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0
CUST00048,0,0,0,0,15,0,1,74.03,1088.48,0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0
CUST00049,0,0,0,0,6,1,1,18.0,109.09,0,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,2
CUST00050,1,0,0,0,4,0,1,60.78,276.49,1,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0
CUST00051,0,0,1,1,0,1,1,46.74,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
CUST00052,1,0,0,1,3,1,1,86.53,230.54,0,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,0
CUST00053,0,1,1,0,10,0,0,57.66,572.68,1,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0
CUST00054,1,0,0,0,20,1,1,79.11,1573.38,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0
CUST00055,0,1,1,0,2,1,1,82.5,190.22,1,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,0
CUST00056,0,0,1,0,3,1,1,40.3,83.2,1,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,2
CUST00057,1,0,0,0,1,1,0,83.45,63.62,1,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,0
CUST00058,1,0,0,0,9,1,0,18.04,177.58,1,False,False,False,True,True,False,True,False,True,False,False,False,False,True,False,2
CUST00059,1,0,0,0,25,1,1,81.49,2005.86,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,0
CUST00060,1,0,0,0,8,0,0,25.28,213.72,0,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,2
CUST00061,1,0,0,1,7,1,1,54.74,369.87,0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,2
CUST00062,1,0,1,0,6,1,1,84.27,526.15,0,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,0
CUST00063,1,0,0,0,0,1,0,21.89,0.0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,2
CUST00064,1,0,0,0,10,1,1,87.1,867.81,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,0
CUST00065,0,0,0,0,7,1,0,28.96,214.7,0,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False,2
CUST00066,0,0,0,0,8,1,0,52.2,417.98,0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,2
CUST00067,1,0,1,1,18,1,0,25.35,431.58,0,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,2
CUST00068,0,0,0,0,12,1,1,86.04,1022.06,1,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,0
CUST00069,0,1,1,1,12,1,0,51.72,588.1,0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,2
CUST00070,0,0,1,0,20,1,0,52.91,1040.91,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,2
CUST00071,0,1,0,0,36,1,0,62.48,2206.5,0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,3
CUST00072,1,0,1,1,6,1,1,29.78,225.44,1,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False,2
CUST00073,0,0,0,1,0,1,1,76.63,0.0,0,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,0
CUST00074,1,0,1,0,4,1,1,30.07,130.94,1,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,2
CUST00075,0,0,1,0,12,1,1,77.73,916.06,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,0
CUST00076,0,1,0,1,0,0,1,21.17,10.51,1,True,False,False,True,True,False,True,False,True,False,False,False,False,True,False,2
CUST00077,0,0,0,0,0,1,1,78.0,15.48,1,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,0
CUST00078,1,0,0,0,0,1,1,51.32,18.72,0,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,2
CUST00079,0,0,0,1,10,1,1,50.67,505.05,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2
CUST00080,1,0,0,0,5,1,1,23.04,135.51,1,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,2
CUST00081,0,1,1,0,3,1,0,44.59,121.62,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2
CUST00082,1,0,1,0,0,1,0,53.92,7.48,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2
CUST00083,0,0,1,0,10,1,0,75.07,751.67,0,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,0
CUST00084,1,0,0,1,3,1,0,59.87,156.11,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,0
CUST00085,1,0,0,1,2,1,1,25.15,13.7,0,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False,2
CUST00086,0,0,1,1,8,1,1,77.52,614.18,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0
CUST00087,1,0,0,0,6,1,1,86.91,515.55,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,0
CUST00088,0,0,0,0,3,1,0,18.0,48.61,1,False,False,False,True,True,False,True,False,True,False,False,False,False,True,False,2
CUST00089,0,0,1,0,8,1,0,89.03,733.24,1,False,True,True,False,False,False,False,True,False,True,False,True,False,False,True,0
CUST00090,0,0,1,0,2,1,1,37.05,101.62,0,False,True,False,True,True,False,True,False,True,False,False,False,False,False,True,2
CUST00091,0,0,0,0,12,1,0,49.13,602.7,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2
CUST00092,0,0,0,0,2,1,0,29.17,70.08,0,False,True,False,True,True,False,True,False,True,False,False,True,False,True,False,2
CUST00093,0,0,0,0,1,1,1,71.97,70.37,0,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,0
CUST00094,0,0,1,1,12,1,1,72.86,877.85,0,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,0
CUST00095,0,0,0,1,9,0,0,85.23,775.66,0,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,0
CUST00096,0,0,1,0,1,0,1,56.81,59.61,0,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,0
CUST00097,0,0,1,0,0,1,1,86.16,11.85,1,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,0
CUST00098,0,0,0,0,14,1,1,45.59,639.18,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
CUST00099,1,0,1,0,11,1,1,44.42,478.72,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2
CUST00100,1,0,0,1,3,1,0,77.05,236.38,0,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,0
CUST00101,0,0,1,0,8,0,1,19.64,152.4,1,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,2
CUST00102,0,0,0,0,1,1,0,101.41,130.46,1,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,0
CUST00103,0,0,0,0,5,1,0,91.12,447.05,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0
CUST00104,0,0,1,0,0,1,0,60.8,57.19,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0
CUST00105,0,0,0,0,3,1,0,60.58,214.53,0,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,0
CUST00106,0,0,1,0,0,1,1,84.01,0.0,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,0
CUST00107,0,0,0,0,5,1,1,23.33,141.68,1,False,True,False,True,True,False,True,False,True,False,False,False,True,False,False,2
CUST00108,0,0,1,0,4,1,1,18.0,69.49,0,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,2
CUST00109,1,0,1,0,4,1,0,54.26,228.35,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,2
CUST00110,0,0,1,1,0,1,0,79.99,31.53,0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,0
CUST00111,1,0,1,1,3,0,1,77.2,216.1,0,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0
CUST00112,0,0,0,1,11,1,1,63.23,686.26,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
CUST00113,0,0,1,1,3,1,1,65.49,211.54,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
CUST00114,1,0,1,0,10,1,1,96.08,953.46,1,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,0
CUST00115,0,0,1,0,3,0,1,51.57,110.21,1,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,2
CUST00116,1,0,1,1,4,1,0,25.39,120.83,1,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,2
CUST00117,0,0,0,1,6,1,1,67.23,410.77,1,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0
CUST00118,0,1,0,1,24,1,1,83.79,2010.49,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0
CUST00119,1,0,1,0,0,0,1,23.05,2.5,0,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,2
CUST00120,0,0,0,0,0,1,1,89.44,44.77,1,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,0
CUST00121,1,1,0,0,7,1,0,55.0,405.25,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2
CUST00122,0,0,1,0,23,1,1,63.05,1432.93,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,0
CUST00123,1,1,0,1,36,1,1,80.43,2897.94,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,1
CUST00124,1,0,0,0,5,1,0,65.28,350.12,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
CUST00125,0,1,0,1,5,1,1,85.53,450.95,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,0
CUST00126,0,0,0,0,8,1,0,50.7,375.55,1,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,2
CUST00127,1,0,1,0,6,1,0,31.19,177.11,1,False,True,False,True,True,False,True,False,True,False,False,False,True,False,False,2
CUST00128,0,0,0,0,8,1,1,52.27,395.48,0,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,2
CUST00129,0,0,0,0,16,0,1,84.69,1367.83,1,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,0
CUST00130,0,0,0,0,10,1,0,71.83,700.16,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0
CUST00131,1,0,0,1,5,1,1,85.09,456.54,0,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,0
CUST00132,1,0,1,1,4,1,1,56.15,250.51,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0
CUST00133,1,0,0,0,8,1,0,71.46,566.74,0,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,0
CUST00134,1,0,0,0,4,1,1,77.49,284.66,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0
CUST00135,1,0,1,1,4,1,1,66.8,251.42,0,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,0
CUST00136,1,1,1,0,0,1,0,20.07,9.02,1,False,False,False,True,True,False,True,False,True,False,False,False,False,True,False,2
CUST00137,1,0,0,0,1,1,0,18.0,35.04,0,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,2
CUST00138,1,1,1,0,5,1,0,57.89,288.68,0,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,0
CUST00139,1,0,1,0,13,1,1,83.29,1031.41,1,False,False,True,False,False,True,False,True,False,True,True,False,True,False,False,0
CUST00140,0,0,1,0,2,1,0,77.71,169.02,1,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,0
CUST00141,1,0,1,0,5,1,1,66.63,292.74,1,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0
CUST00142,0,0,1,0,3,1,1,66.9,158.32,1,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0
CUST00143,0,0,1,0,0,1,1,28.56,19.97,1,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False,2
CUST00144,0,0,1,0,25,1,1,76.5,1888.78,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0
CUST00145,1,0,0,0,15,1,0,25.47,387.06,0,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,2
CUST00146,1,1,0,1,0,0,1,69.38,1.84,0,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,0
CUST00147,1,0,1,1,10,1,1,56.51,548.99,0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0
CUST00148,1,0,1,0,3,1,1,54.74,168.34,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2
CUST00149,0,0,0,0,42,1,1,93.3,3907.59,0,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,1
CUST00150,1,0,1,0,2,1,0,74.14,149.23,0,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,0
CUST00151,1,0,1,1,2,1,0,60.71,113.7,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
CUST00152,1,0,1,1,6,0,0,82.35,484.07,1,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,0
CUST00153,1,0,0,0,14,1,0,20.44,272.97,0,False,False,False,True,True,False,True,False,True,False,True,False,False,False,True,2
CUST00154,1,0,0,1,1,1,1,87.89,69.92,0,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,0
CUST00155,0,0,0,1,9,1,0,60.76,563.89,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0
CUST00156,1,0,0,0,0,1,1,56.31,0.0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0
CUST00157,0,1,0,1,20,1,0,31.87,614.77,1,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False,2
CUST00158,1,0,1,0,0,1,0,18.0,0.0,0,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,2
CUST00159,0,0,0,0,19,1,1,77.34,1458.9,1,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,0
CUST00160,1,0,1,1,5,1,1,20.19,93.07,0,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,2
CUST00161,1,1,0,0,4,1,1,65.57,276.55,1,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0
CUST00162,0,0,0,0,28,1,0,54.27,1507.0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,3
CUST00163,0,0,0,0,37,1,1,46.08,1697.37,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3
CUST00164,0,0,1,0,8,1,0,59.35,487.66,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,0
CUST00165,1,0,1,0,1,1,1,25.69,34.57,0,False,True,False,True,True,False,True,False,True,False,False,False,False,False,True,2
CUST00166,0,0,0,0,5,1,0,80.09,386.71,1,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,0
CUST00167,1,0,0,0,6,1,1,58.72,371.64,0,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,0
CUST00168,1,0,0,0,5,0,0,18.0,108.19,1,True,False,False,True,True,False,True,False,True,False,False,False,False,True,False,2
CUST00169,0,0,1,1,6,1,1,18.0,124.78,1,False,False,False,True,True,False,True,False,True,False,True,False,False,False,True,2
CUST00170,0,0,0,1,0,1,1,52.8,6.05,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,2
CUST00171,1,0,0,1,9,1,1,74.93,670.9,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,0
CUST00172,1,0,0,0,9,1,1,87.8,768.72,1,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,0
CUST00173,0,0,0,1,0,1,0,84.22,0.0,0,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,0
CUST00174,0,1,0,0,6,1,0,74.85,447.4,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,0
CUST00175,0,0,0,0,6,1,1,60.81,365.14,1,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,0
CUST00176,1,0,0,1,9,1,1,54.17,482.31,0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,2
CUST00177,1,0,0,0,0,1,0,24.09,0.0,0,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,2
CUST00178,1,0,1,0,7,1,0,26.6,213.47,1,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,2
CUST00179,1,0,1,1,2,1,1,56.55,145.65,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0
CUST00180,1,0,0,0,5,1,0,46.98,212.78,1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2
CUST00181,1,0,0,0,11,0,1,26.41,296.28,0,True,False,False,True,True,False,True,False,True,False,True,False,False,False,True,2
CUST00182,0,0,0,0,9,0,1,92.04,829.4,1,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,0
CUST00183,1,0,0,1,1,1,1,70.03,83.53,1,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0
CUST00184,1,0,1,0,7,1,0,63.65,480.22,0,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,0
CUST00185,1,0,0,0,27,1,0,84.22,2317.7,0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,0
CUST00186,0,0,0,0,1,1,0,74.99,89.38,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,0
CUST00187,1,0,1,1,15,1,1,87.01,1305.95,0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,0
CUST00188,1,0,1,0,9,1,1,55.48,492.07,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2
CUST00189,0,0,0,0,11,1,1,18.0,247.74,1,False,True,False,True,True,False,True,False,True,False,False,True,False,False,True,2
CUST00190,1,0,1,0,2,1,0,18.0,20.65,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,False,2
CUST00191,1,0,0,0,2,0,1,18.0,52.45,1,True,False,False,True,True,False,True,False,True,False,False,False,False,True,False,2
CUST00192,1,0,1,0,18,1,1,18.0,318.72,0,False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,2
CUST00193,1,0,0,0,3,1,0,72.95,192.08,0,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,0
CUST00194,1,1,0,0,0,1,0,46.9,34.31,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
CUST00195,0,0,0,0,7,1,1,59.21,379.62,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0
CUST00196,0,0,1,1,1,1,1,54.06,11.08,0,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,2
CUST00197,0,0,0,0,12,0,1,49.7,610.4,0,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,2
CUST00198,1,0,1,0,8,1,1,79.03,626.15,0,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,0
CUST00199,1,0,1,1,16,1,1,18.0,296.63,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,False,2
CUST00200,1,0,0,0,12,1,1,78.96,947.38,1,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,0
CUST00201,0,1,0,1,0,1,0,87.8,12.01,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,0
CUST00202,1,0,0,0,3,1,1,84.0,246.09,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,0
CUST00203,1,0,1,0,11,1,1,57.55,651.09,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0
CUST00204,0,0,1,1,4,1,1,23.66,113.26,0,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,2
CUST00205,1,0,1,0,28,1,1,77.63,2204.62,0,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,0
CUST00206,0,0,0,1,10,0,1,65.65,681.78,1,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,0
CUST00207,0,0,0,0,0,1,1,24.08,0.0,1,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,2
CUST00208,0,0,0,0,16,1,1,77.37,1251.84,1,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,0
CUST00209,1,0,0,0,0,1,0,71.46,8.35,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,0
CUST00210,1,0,1,1,1,1,1,78.05,86.47,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0
CUST00211,1,0,1,1,10,1,1,80.6,779.52,1,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,0
CUST00212,1,0,1,0,16,1,1,62.59,1016.5,0,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,0
CUST00213,1,0,1,0,6,1,1,25.34,164.21,0,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,2
CUST00214,1,0,1,1,2,0,1,18.0,72.41,1,True,False,False,True,True,False,True,False,True,False,False,False,False,True,False,2
CUST00215,1,0,0,1,3,1,0,68.29,228.18,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0
CUST00216,0,0,1,1,3,1,1,74.62,226.85,0,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,0
